,REF_DATE,GEO,Dairy distribution,VECTOR,VALUE,TERMINATED
3915,1980-01,Canada,Delivered as cream,v382158,13833,1
3916,1980-01,Newfoundland and Labrador,"Milk sold off farms, total",v382166,703,0
3917,1980-01,Newfoundland and Labrador,Fluid purposes,v382167,703,0
3920,1980-01,Prince Edward Island,"Milk sold off farms, total",v382173,5449,0
3921,1980-01,Prince Edward Island,Fluid purposes,v382174,1304,0
3922,1980-01,Prince Edward Island,Industrial purposes,v382175,3753,0
3923,1980-01,Prince Edward Island,Delivered as cream,v382176,392,1
3924,1980-01,Nova Scotia,"Milk sold off farms, total",v382180,14177,0
3925,1980-01,Nova Scotia,Fluid purposes,v382181,9083,0
3926,1980-01,Nova Scotia,Industrial purposes,v382182,4748,0
3927,1980-01,Nova Scotia,Delivered as cream,v382183,346,1
3928,1980-01,New Brunswick,"Milk sold off farms, total",v382187,8636,0
3929,1980-01,New Brunswick,Fluid purposes,v382188,5863,0
3930,1980-01,New Brunswick,Industrial purposes,v382189,2445,0
3931,1980-01,New Brunswick,Delivered as cream,v382190,328,1
3932,1980-01,Quebec,"Milk sold off farms, total",v382194,180100,0
3933,1980-01,Quebec,Fluid purposes,v382195,51643,0
3934,1980-01,Quebec,Industrial purposes,v382196,128411,0
3935,1980-01,Quebec,Delivered as cream,v382197,46,1
3936,1980-01,Ontario,"Milk sold off farms, total",v382201,184089,0
3937,1980-01,Ontario,Fluid purposes,v382202,84444,0
3938,1980-01,Ontario,Industrial purposes,v382203,94173,0
3939,1980-01,Ontario,Delivered as cream,v382204,5472,1
3940,1980-01,Manitoba,"Milk sold off farms, total",v382208,21560,0
3941,1980-01,Manitoba,Fluid purposes,v382209,9618,0
3942,1980-01,Manitoba,Industrial purposes,v382210,10056,0
3943,1980-01,Manitoba,Delivered as cream,v382211,1886,1
3944,1980-01,Saskatchewan,"Milk sold off farms, total",v382215,14349,0
3945,1980-01,Saskatchewan,Fluid purposes,v382216,8497,0
3946,1980-01,Saskatchewan,Industrial purposes,v382217,3865,0
3947,1980-01,Saskatchewan,Delivered as cream,v382218,1987,1
3948,1980-01,Alberta,"Milk sold off farms, total",v382222,39817,0
3949,1980-01,Alberta,Fluid purposes,v382223,21026,0
3950,1980-01,Alberta,Industrial purposes,v382224,15437,0
3951,1980-01,Alberta,Delivered as cream,v382225,3354,1
3952,1980-01,British Columbia,"Milk sold off farms, total",v382162,38169,0
3953,1980-01,British Columbia,Fluid purposes,v382163,25081,0
3954,1980-01,British Columbia,Industrial purposes,v382164,13066,0
3955,1980-01,British Columbia,Delivered as cream,v382165,22,1
3956,1980-02,Canada,"Milk sold off farms, total",v382155,483399,0
3957,1980-02,Canada,Fluid purposes,v382156,209070,0
3958,1980-02,Canada,Industrial purposes,v382157,261073,0
3959,1980-02,Canada,Delivered as cream,v382158,13256,1
3960,1980-02,Newfoundland and Labrador,"Milk sold off farms, total",v382166,640,0
3961,1980-02,Newfoundland and Labrador,Fluid purposes,v382167,640,0
3964,1980-02,Prince Edward Island,"Milk sold off farms, total",v382173,5148,0
3965,1980-02,Prince Edward Island,Fluid purposes,v382174,1281,0
3966,1980-02,Prince Edward Island,Industrial purposes,v382175,3567,0
3967,1980-02,Prince Edward Island,Delivered as cream,v382176,300,1
3968,1980-02,Nova Scotia,"Milk sold off farms, total",v382180,13345,0
3969,1980-02,Nova Scotia,Fluid purposes,v382181,8761,0
3970,1980-02,Nova Scotia,Industrial purposes,v382182,4265,0
3971,1980-02,Nova Scotia,Delivered as cream,v382183,319,1
3972,1980-02,New Brunswick,"Milk sold off farms, total",v382187,8277,0
3973,1980-02,New Brunswick,Fluid purposes,v382188,5724,0
3974,1980-02,New Brunswick,Industrial purposes,v382189,2283,0
3975,1980-02,New Brunswick,Delivered as cream,v382190,270,1
3976,1980-02,Quebec,"Milk sold off farms, total",v382194,171807,0
3977,1980-02,Quebec,Fluid purposes,v382195,50145,0
3978,1980-02,Quebec,Industrial purposes,v382196,121630,0
3979,1980-02,Quebec,Delivered as cream,v382197,32,1
3980,1980-02,Ontario,"Milk sold off farms, total",v382201,174319,0
3981,1980-02,Ontario,Fluid purposes,v382202,80172,0
3982,1980-02,Ontario,Industrial purposes,v382203,89068,0
3983,1980-02,Ontario,Delivered as cream,v382204,5079,1
3984,1980-02,Manitoba,"Milk sold off farms, total",v382208,20729,0
3985,1980-02,Manitoba,Fluid purposes,v382209,8993,0
3986,1980-02,Manitoba,Industrial purposes,v382210,9816,0
3987,1980-02,Manitoba,Delivered as cream,v382211,1920,1
3988,1980-02,Saskatchewan,"Milk sold off farms, total",v382215,14153,0
3989,1980-02,Saskatchewan,Fluid purposes,v382216,8224,0
3990,1980-02,Saskatchewan,Industrial purposes,v382217,3916,0
3991,1980-02,Saskatchewan,Delivered as cream,v382218,2013,1
3992,1980-02,Alberta,"Milk sold off farms, total",v382222,38469,0
3993,1980-02,Alberta,Fluid purposes,v382223,20748,0
3994,1980-02,Alberta,Industrial purposes,v382224,14529,0
3995,1980-02,Alberta,Delivered as cream,v382225,3192,1
3996,1980-02,British Columbia,"Milk sold off farms, total",v382162,36512,0
3997,1980-02,British Columbia,Fluid purposes,v382163,24382,0
3998,1980-02,British Columbia,Industrial purposes,v382164,11999,0
3999,1980-02,British Columbia,Delivered as cream,v382165,131,1
4000,1980-03,Canada,"Milk sold off farms, total",v382155,558768,0
4001,1980-03,Canada,Fluid purposes,v382156,214955,0
4002,1980-03,Canada,Industrial purposes,v382157,328489,0
4003,1980-03,Canada,Delivered as cream,v382158,15324,1
4004,1980-03,Newfoundland and Labrador,"Milk sold off farms, total",v382166,700,0
4005,1980-03,Newfoundland and Labrador,Fluid purposes,v382167,700,0
4008,1980-03,Prince Edward Island,"Milk sold off farms, total",v382173,5988,0
4009,1980-03,Prince Edward Island,Fluid purposes,v382174,1270,0
4010,1980-03,Prince Edward Island,Industrial purposes,v382175,4374,0
4011,1980-03,Prince Edward Island,Delivered as cream,v382176,344,1
4012,1980-03,Nova Scotia,"Milk sold off farms, total",v382180,14504,0
4013,1980-03,Nova Scotia,Fluid purposes,v382181,9055,0
4014,1980-03,Nova Scotia,Industrial purposes,v382182,5103,0
4015,1980-03,Nova Scotia,Delivered as cream,v382183,346,1
4016,1980-03,New Brunswick,"Milk sold off farms, total",v382187,9191,0
4017,1980-03,New Brunswick,Fluid purposes,v382188,5846,0
4018,1980-03,New Brunswick,Industrial purposes,v382189,2942,0
4019,1980-03,New Brunswick,Delivered as cream,v382190,403,1
4020,1980-03,Quebec,"Milk sold off farms, total",v382194,207579,0
4021,1980-03,Quebec,Fluid purposes,v382195,52495,0
4022,1980-03,Quebec,Industrial purposes,v382196,155032,0
4023,1980-03,Quebec,Delivered as cream,v382197,52,1
4024,1980-03,Ontario,"Milk sold off farms, total",v382201,199240,0
4025,1980-03,Ontario,Fluid purposes,v382202,82324,0
4026,1980-03,Ontario,Industrial purposes,v382203,111184,0
4027,1980-03,Ontario,Delivered as cream,v382204,5732,1
4028,1980-03,Manitoba,"Milk sold off farms, total",v382208,23405,0
4029,1980-03,Manitoba,Fluid purposes,v382209,9100,0
4030,1980-03,Manitoba,Industrial purposes,v382210,11974,0
4031,1980-03,Manitoba,Delivered as cream,v382211,2331,1
4032,1980-03,Saskatchewan,"Milk sold off farms, total",v382215,16167,0
4033,1980-03,Saskatchewan,Fluid purposes,v382216,8225,0
4034,1980-03,Saskatchewan,Industrial purposes,v382217,5604,0
4035,1980-03,Saskatchewan,Delivered as cream,v382218,2338,1
4036,1980-03,Alberta,"Milk sold off farms, total",v382222,42510,0
4037,1980-03,Alberta,Fluid purposes,v382223,20802,0
4038,1980-03,Alberta,Industrial purposes,v382224,18011,0
4039,1980-03,Alberta,Delivered as cream,v382225,3697,1
4040,1980-03,British Columbia,"Milk sold off farms, total",v382162,39484,0
4041,1980-03,British Columbia,Fluid purposes,v382163,25138,0
4042,1980-03,British Columbia,Industrial purposes,v382164,14265,0
4043,1980-03,British Columbia,Delivered as cream,v382165,81,1
4044,1980-04,Canada,"Milk sold off farms, total",v382155,616328,0
4045,1980-04,Canada,Fluid purposes,v382156,209456,0
4046,1980-04,Canada,Industrial purposes,v382157,386873,0
4047,1980-04,Canada,Delivered as cream,v382158,19999,1
4048,1980-04,Newfoundland and Labrador,"Milk sold off farms, total",v382166,733,0
4049,1980-04,Newfoundland and Labrador,Fluid purposes,v382167,733,0
4052,1980-04,Prince Edward Island,"Milk sold off farms, total",v382173,7278,0
4053,1980-04,Prince Edward Island,Fluid purposes,v382174,1226,0
4054,1980-04,Prince Edward Island,Industrial purposes,v382175,5475,0
4055,1980-04,Prince Edward Island,Delivered as cream,v382176,577,1
4056,1980-04,Nova Scotia,"Milk sold off farms, total",v382180,14514,0
4057,1980-04,Nova Scotia,Fluid purposes,v382181,8782,0
4058,1980-04,Nova Scotia,Industrial purposes,v382182,5290,0
4059,1980-04,Nova Scotia,Delivered as cream,v382183,442,1
4060,1980-04,New Brunswick,"Milk sold off farms, total",v382187,9813,0
4061,1980-04,New Brunswick,Fluid purposes,v382188,5723,0
4062,1980-04,New Brunswick,Industrial purposes,v382189,3378,0
4063,1980-04,New Brunswick,Delivered as cream,v382190,712,1
4064,1980-04,Quebec,"Milk sold off farms, total",v382194,244864,0
4065,1980-04,Quebec,Fluid purposes,v382195,50992,0
4066,1980-04,Quebec,Industrial purposes,v382196,193786,0
4067,1980-04,Quebec,Delivered as cream,v382197,86,1
4068,1980-04,Ontario,"Milk sold off farms, total",v382201,213812,0
4069,1980-04,Ontario,Fluid purposes,v382202,79742,0
4070,1980-04,Ontario,Industrial purposes,v382203,126701,0
4071,1980-04,Ontario,Delivered as cream,v382204,7369,1
4072,1980-04,Manitoba,"Milk sold off farms, total",v382208,24629,0
4073,1980-04,Manitoba,Fluid purposes,v382209,8928,0
4074,1980-04,Manitoba,Industrial purposes,v382210,12689,0
4075,1980-04,Manitoba,Delivered as cream,v382211,3012,1
4076,1980-04,Saskatchewan,"Milk sold off farms, total",v382215,17278,0
4077,1980-04,Saskatchewan,Fluid purposes,v382216,8005,0
4078,1980-04,Saskatchewan,Industrial purposes,v382217,6180,0
4079,1980-04,Saskatchewan,Delivered as cream,v382218,3093,1
4080,1980-04,Alberta,"Milk sold off farms, total",v382222,43937,0
4081,1980-04,Alberta,Fluid purposes,v382223,20386,0
4082,1980-04,Alberta,Industrial purposes,v382224,18931,0
4083,1980-04,Alberta,Delivered as cream,v382225,4620,1
4084,1980-04,British Columbia,"Milk sold off farms, total",v382162,39470,0
4085,1980-04,British Columbia,Fluid purposes,v382163,24939,0
4086,1980-04,British Columbia,Industrial purposes,v382164,14443,0
4087,1980-04,British Columbia,Delivered as cream,v382165,88,1
4088,1980-05,Canada,"Milk sold off farms, total",v382155,692599,0
4089,1980-05,Canada,Fluid purposes,v382156,221827,0
4090,1980-05,Canada,Industrial purposes,v382157,446094,0
4091,1980-05,Canada,Delivered as cream,v382158,24678,1
4092,1980-05,Newfoundland and Labrador,"Milk sold off farms, total",v382166,780,0
4093,1980-05,Newfoundland and Labrador,Fluid purposes,v382167,780,0
4096,1980-05,Prince Edward Island,"Milk sold off farms, total",v382173,8915,0
4097,1980-05,Prince Edward Island,Fluid purposes,v382174,1371,0
4098,1980-05,Prince Edward Island,Industrial purposes,v382175,6650,0
4099,1980-05,Prince Edward Island,Delivered as cream,v382176,894,1
4100,1980-05,Nova Scotia,"Milk sold off farms, total",v382180,15318,0
4101,1980-05,Nova Scotia,Fluid purposes,v382181,9171,0
4102,1980-05,Nova Scotia,Industrial purposes,v382182,5634,0
4103,1980-05,Nova Scotia,Delivered as cream,v382183,513,1
4104,1980-05,New Brunswick,"Milk sold off farms, total",v382187,10865,0
4105,1980-05,New Brunswick,Fluid purposes,v382188,6001,0
4106,1980-05,New Brunswick,Industrial purposes,v382189,3859,0
4107,1980-05,New Brunswick,Delivered as cream,v382190,1005,1
4108,1980-05,Quebec,"Milk sold off farms, total",v382194,285288,0
4109,1980-05,Quebec,Fluid purposes,v382195,51772,0
4110,1980-05,Quebec,Industrial purposes,v382196,233429,0
4111,1980-05,Quebec,Delivered as cream,v382197,87,1
4112,1980-05,Ontario,"Milk sold off farms, total",v382201,235669,0
4113,1980-05,Ontario,Fluid purposes,v382202,87810,0
4114,1980-05,Ontario,Industrial purposes,v382203,139111,0
4115,1980-05,Ontario,Delivered as cream,v382204,8748,1
4116,1980-05,Manitoba,"Milk sold off farms, total",v382208,26703,0
4117,1980-05,Manitoba,Fluid purposes,v382209,9578,0
4118,1980-05,Manitoba,Industrial purposes,v382210,13483,0
4119,1980-05,Manitoba,Delivered as cream,v382211,3642,1
4120,1980-05,Saskatchewan,"Milk sold off farms, total",v382215,18793,0
4121,1980-05,Saskatchewan,Fluid purposes,v382216,8299,0
4122,1980-05,Saskatchewan,Industrial purposes,v382217,6684,0
4123,1980-05,Saskatchewan,Delivered as cream,v382218,3810,1
4124,1980-05,Alberta,"Milk sold off farms, total",v382222,48676,0
4125,1980-05,Alberta,Fluid purposes,v382223,21427,0
4126,1980-05,Alberta,Industrial purposes,v382224,21379,0
4127,1980-05,Alberta,Delivered as cream,v382225,5870,1
4128,1980-05,British Columbia,"Milk sold off farms, total",v382162,41592,0
4129,1980-05,British Columbia,Fluid purposes,v382163,25618,0
4130,1980-05,British Columbia,Industrial purposes,v382164,15865,0
4131,1980-05,British Columbia,Delivered as cream,v382165,109,1
4132,1980-06,Canada,"Milk sold off farms, total",v382155,728572,0
4133,1980-06,Canada,Fluid purposes,v382156,205995,0
4134,1980-06,Canada,Industrial purposes,v382157,495285,0
4135,1980-06,Canada,Delivered as cream,v382158,27292,1
4136,1980-06,Newfoundland and Labrador,"Milk sold off farms, total",v382166,790,0
4137,1980-06,Newfoundland and Labrador,Fluid purposes,v382167,790,0
4140,1980-06,Prince Edward Island,"Milk sold off farms, total",v382173,10979,0
4141,1980-06,Prince Edward Island,Fluid purposes,v382174,1345,0
4142,1980-06,Prince Edward Island,Industrial purposes,v382175,8244,0
4143,1980-06,Prince Edward Island,Delivered as cream,v382176,1390,1
4144,1980-06,Nova Scotia,"Milk sold off farms, total",v382180,16220,0
4145,1980-06,Nova Scotia,Fluid purposes,v382181,8629,0
4146,1980-06,Nova Scotia,Industrial purposes,v382182,6875,0
4147,1980-06,Nova Scotia,Delivered as cream,v382183,716,1
4148,1980-06,New Brunswick,"Milk sold off farms, total",v382187,11741,0
4149,1980-06,New Brunswick,Fluid purposes,v382188,5563,0
4150,1980-06,New Brunswick,Industrial purposes,v382189,4854,0
4151,1980-06,New Brunswick,Delivered as cream,v382190,1324,1
4152,1980-06,Quebec,"Milk sold off farms, total",v382194,315912,0
4153,1980-06,Quebec,Fluid purposes,v382195,48299,0
4154,1980-06,Quebec,Industrial purposes,v382196,267464,0
4155,1980-06,Quebec,Delivered as cream,v382197,149,1
4156,1980-06,Ontario,"Milk sold off farms, total",v382201,238611,0
4157,1980-06,Ontario,Fluid purposes,v382202,79821,0
4158,1980-06,Ontario,Industrial purposes,v382203,149517,0
4159,1980-06,Ontario,Delivered as cream,v382204,9273,1
4160,1980-06,Manitoba,"Milk sold off farms, total",v382208,26893,0
4161,1980-06,Manitoba,Fluid purposes,v382209,8925,0
4162,1980-06,Manitoba,Industrial purposes,v382210,14139,0
4163,1980-06,Manitoba,Delivered as cream,v382211,3829,1
4164,1980-06,Saskatchewan,"Milk sold off farms, total",v382215,19118,0
4165,1980-06,Saskatchewan,Fluid purposes,v382216,7795,0
4166,1980-06,Saskatchewan,Industrial purposes,v382217,7316,0
4167,1980-06,Saskatchewan,Delivered as cream,v382218,4007,1
4168,1980-06,Alberta,"Milk sold off farms, total",v382222,49603,0
4169,1980-06,Alberta,Fluid purposes,v382223,20397,0
4170,1980-06,Alberta,Industrial purposes,v382224,22730,0
4171,1980-06,Alberta,Delivered as cream,v382225,6476,1
4172,1980-06,British Columbia,"Milk sold off farms, total",v382162,38705,0
4173,1980-06,British Columbia,Fluid purposes,v382163,24431,0
4174,1980-06,British Columbia,Industrial purposes,v382164,14146,0
4175,1980-06,British Columbia,Delivered as cream,v382165,128,1
4176,1980-07,Canada,"Milk sold off farms, total",v382155,711517,0
4177,1980-07,Canada,Fluid purposes,v382156,211281,0
4178,1980-07,Canada,Industrial purposes,v382157,470712,0
4179,1980-07,Canada,Delivered as cream,v382158,29524,1
4180,1980-07,Newfoundland and Labrador,"Milk sold off farms, total",v382166,829,0
4181,1980-07,Newfoundland and Labrador,Fluid purposes,v382167,829,0
4184,1980-07,Prince Edward Island,"Milk sold off farms, total",v382173,11303,0
4185,1980-07,Prince Edward Island,Fluid purposes,v382174,1553,0
4186,1980-07,Prince Edward Island,Industrial purposes,v382175,8282,0
4187,1980-07,Prince Edward Island,Delivered as cream,v382176,1468,1
4188,1980-07,Nova Scotia,"Milk sold off farms, total",v382180,15521,0
4189,1980-07,Nova Scotia,Fluid purposes,v382181,8968,0
4190,1980-07,Nova Scotia,Industrial purposes,v382182,5849,0
4191,1980-07,Nova Scotia,Delivered as cream,v382183,704,1
4192,1980-07,New Brunswick,"Milk sold off farms, total",v382187,11590,0
4193,1980-07,New Brunswick,Fluid purposes,v382188,6084,0
4194,1980-07,New Brunswick,Industrial purposes,v382189,4092,0
4195,1980-07,New Brunswick,Delivered as cream,v382190,1414,1
4196,1980-07,Quebec,"Milk sold off farms, total",v382194,300247,0
4197,1980-07,Quebec,Fluid purposes,v382195,49187,0
4198,1980-07,Quebec,Industrial purposes,v382196,250880,0
4199,1980-07,Quebec,Delivered as cream,v382197,180,1
4200,1980-07,Ontario,"Milk sold off farms, total",v382201,233952,0
4201,1980-07,Ontario,Fluid purposes,v382202,81760,0
4202,1980-07,Ontario,Industrial purposes,v382203,141927,0
4203,1980-07,Ontario,Delivered as cream,v382204,10265,1
4204,1980-07,Manitoba,"Milk sold off farms, total",v382208,27450,0
4205,1980-07,Manitoba,Fluid purposes,v382209,8998,0
4206,1980-07,Manitoba,Industrial purposes,v382210,14351,0
4207,1980-07,Manitoba,Delivered as cream,v382211,4101,1
4208,1980-07,Saskatchewan,"Milk sold off farms, total",v382215,20079,0
4209,1980-07,Saskatchewan,Fluid purposes,v382216,8039,0
4210,1980-07,Saskatchewan,Industrial purposes,v382217,7661,0
4211,1980-07,Saskatchewan,Delivered as cream,v382218,4379,1
4212,1980-07,Alberta,"Milk sold off farms, total",v382222,51097,0
4213,1980-07,Alberta,Fluid purposes,v382223,20506,0
4214,1980-07,Alberta,Industrial purposes,v382224,23716,0
4215,1980-07,Alberta,Delivered as cream,v382225,6875,1
4216,1980-07,British Columbia,"Milk sold off farms, total",v382162,39449,0
4217,1980-07,British Columbia,Fluid purposes,v382163,25357,0
4218,1980-07,British Columbia,Industrial purposes,v382164,13954,0
4219,1980-07,British Columbia,Delivered as cream,v382165,138,1
4220,1980-08,Canada,"Milk sold off farms, total",v382155,671977,0
4221,1980-08,Canada,Fluid purposes,v382156,215136,0
4222,1980-08,Canada,Industrial purposes,v382157,431323,0
4223,1980-08,Canada,Delivered as cream,v382158,25518,1
4224,1980-08,Newfoundland and Labrador,"Milk sold off farms, total",v382166,752,0
4225,1980-08,Newfoundland and Labrador,Fluid purposes,v382167,752,0
4228,1980-08,Prince Edward Island,"Milk sold off farms, total",v382173,10380,0
4229,1980-08,Prince Edward Island,Fluid purposes,v382174,1607,0
4230,1980-08,Prince Edward Island,Industrial purposes,v382175,7553,0
4231,1980-08,Prince Edward Island,Delivered as cream,v382176,1220,1
4232,1980-08,Nova Scotia,"Milk sold off farms, total",v382180,14753,0
4233,1980-08,Nova Scotia,Fluid purposes,v382181,9306,0
4234,1980-08,Nova Scotia,Industrial purposes,v382182,4892,0
4235,1980-08,Nova Scotia,Delivered as cream,v382183,555,1
4236,1980-08,New Brunswick,"Milk sold off farms, total",v382187,10882,0
4237,1980-08,New Brunswick,Fluid purposes,v382188,5929,0
4238,1980-08,New Brunswick,Industrial purposes,v382189,3758,0
4239,1980-08,New Brunswick,Delivered as cream,v382190,1195,1
4240,1980-08,Quebec,"Milk sold off farms, total",v382194,280198,0
4241,1980-08,Quebec,Fluid purposes,v382195,49859,0
4242,1980-08,Quebec,Industrial purposes,v382196,230173,0
4243,1980-08,Quebec,Delivered as cream,v382197,166,1
4244,1980-08,Ontario,"Milk sold off farms, total",v382201,222442,0
4245,1980-08,Ontario,Fluid purposes,v382202,84149,0
4246,1980-08,Ontario,Industrial purposes,v382203,129530,0
4247,1980-08,Ontario,Delivered as cream,v382204,8763,1
4248,1980-08,Manitoba,"Milk sold off farms, total",v382208,26336,0
4249,1980-08,Manitoba,Fluid purposes,v382209,8893,0
4250,1980-08,Manitoba,Industrial purposes,v382210,13833,0
4251,1980-08,Manitoba,Delivered as cream,v382211,3610,1
4252,1980-08,Saskatchewan,"Milk sold off farms, total",v382215,18984,0
4253,1980-08,Saskatchewan,Fluid purposes,v382216,8009,0
4254,1980-08,Saskatchewan,Industrial purposes,v382217,7092,0
4255,1980-08,Saskatchewan,Delivered as cream,v382218,3883,1
4256,1980-08,Alberta,"Milk sold off farms, total",v382222,48380,0
4257,1980-08,Alberta,Fluid purposes,v382223,20397,0
4258,1980-08,Alberta,Industrial purposes,v382224,21970,0
4259,1980-08,Alberta,Delivered as cream,v382225,6013,1
4260,1980-08,British Columbia,"Milk sold off farms, total",v382162,38870,0
4261,1980-08,British Columbia,Fluid purposes,v382163,26235,0
4262,1980-08,British Columbia,Industrial purposes,v382164,12522,0
4263,1980-08,British Columbia,Delivered as cream,v382165,113,1
4264,1980-09,Canada,"Milk sold off farms, total",v382155,618193,0
4265,1980-09,Canada,Fluid purposes,v382156,218003,0
4266,1980-09,Canada,Industrial purposes,v382157,376314,0
4267,1980-09,Canada,Delivered as cream,v382158,23876,1
4268,1980-09,Newfoundland and Labrador,"Milk sold off farms, total",v382166,760,0
4269,1980-09,Newfoundland and Labrador,Fluid purposes,v382167,760,0
4272,1980-09,Prince Edward Island,"Milk sold off farms, total",v382173,9048,0
4273,1980-09,Prince Edward Island,Fluid purposes,v382174,1479,0
4274,1980-09,Prince Edward Island,Industrial purposes,v382175,6366,0
4275,1980-09,Prince Edward Island,Delivered as cream,v382176,1203,1
4276,1980-09,Nova Scotia,"Milk sold off farms, total",v382180,14106,0
4277,1980-09,Nova Scotia,Fluid purposes,v382181,9124,0
4278,1980-09,Nova Scotia,Industrial purposes,v382182,4425,0
4279,1980-09,Nova Scotia,Delivered as cream,v382183,557,1
4280,1980-09,New Brunswick,"Milk sold off farms, total",v382187,10198,0
4281,1980-09,New Brunswick,Fluid purposes,v382188,5962,0
4282,1980-09,New Brunswick,Industrial purposes,v382189,3128,0
4283,1980-09,New Brunswick,Delivered as cream,v382190,1108,1
4284,1980-09,Quebec,"Milk sold off farms, total",v382194,256110,0
4285,1980-09,Quebec,Fluid purposes,v382195,50465,0
4286,1980-09,Quebec,Industrial purposes,v382196,205492,0
4287,1980-09,Quebec,Delivered as cream,v382197,153,1
4288,1980-09,Ontario,"Milk sold off farms, total",v382201,205824,0
4289,1980-09,Ontario,Fluid purposes,v382202,85317,0
4290,1980-09,Ontario,Industrial purposes,v382203,111904,0
4291,1980-09,Ontario,Delivered as cream,v382204,8603,1
4292,1980-09,Manitoba,"Milk sold off farms, total",v382208,24269,0
4293,1980-09,Manitoba,Fluid purposes,v382209,9078,0
4294,1980-09,Manitoba,Industrial purposes,v382210,11846,0
4295,1980-09,Manitoba,Delivered as cream,v382211,3345,1
4296,1980-09,Saskatchewan,"Milk sold off farms, total",v382215,17003,0
4297,1980-09,Saskatchewan,Fluid purposes,v382216,8348,0
4298,1980-09,Saskatchewan,Industrial purposes,v382217,5279,0
4299,1980-09,Saskatchewan,Delivered as cream,v382218,3376,1
4300,1980-09,Alberta,"Milk sold off farms, total",v382222,43767,0
4301,1980-09,Alberta,Fluid purposes,v382223,21848,0
4302,1980-09,Alberta,Industrial purposes,v382224,16495,0
4303,1980-09,Alberta,Delivered as cream,v382225,5424,1
4304,1980-09,British Columbia,"Milk sold off farms, total",v382162,37108,0
4305,1980-09,British Columbia,Fluid purposes,v382163,25622,0
4306,1980-09,British Columbia,Industrial purposes,v382164,11379,0
4307,1980-09,British Columbia,Delivered as cream,v382165,107,1
4308,1980-10,Canada,"Milk sold off farms, total",v382155,569614,0
4309,1980-10,Canada,Fluid purposes,v382156,233120,0
4310,1980-10,Canada,Industrial purposes,v382157,316697,0
4311,1980-10,Canada,Delivered as cream,v382158,19797,1
4312,1980-10,Newfoundland and Labrador,"Milk sold off farms, total",v382166,716,0
4313,1980-10,Newfoundland and Labrador,Fluid purposes,v382167,716,0
4316,1980-10,Prince Edward Island,"Milk sold off farms, total",v382173,7374,0
4317,1980-10,Prince Edward Island,Fluid purposes,v382174,1440,0
4318,1980-10,Prince Edward Island,Industrial purposes,v382175,5099,0
4319,1980-10,Prince Edward Island,Delivered as cream,v382176,835,1
4320,1980-10,Nova Scotia,"Milk sold off farms, total",v382180,13838,0
4321,1980-10,Nova Scotia,Fluid purposes,v382181,9363,0
4322,1980-10,Nova Scotia,Industrial purposes,v382182,3991,0
4323,1980-10,Nova Scotia,Delivered as cream,v382183,484,1
4324,1980-10,New Brunswick,"Milk sold off farms, total",v382187,9123,0
4325,1980-10,New Brunswick,Fluid purposes,v382188,6218,0
4326,1980-10,New Brunswick,Industrial purposes,v382189,2063,0
4327,1980-10,New Brunswick,Delivered as cream,v382190,842,1
4328,1980-10,Quebec,"Milk sold off farms, total",v382194,225235,0
4329,1980-10,Quebec,Fluid purposes,v382195,57710,0
4330,1980-10,Quebec,Industrial purposes,v382196,167400,0
4331,1980-10,Quebec,Delivered as cream,v382197,125,1
4332,1980-10,Ontario,"Milk sold off farms, total",v382201,194814,0
4333,1980-10,Ontario,Fluid purposes,v382202,88271,0
4334,1980-10,Ontario,Industrial purposes,v382203,99102,0
4335,1980-10,Ontario,Delivered as cream,v382204,7441,1
4336,1980-10,Manitoba,"Milk sold off farms, total",v382208,22988,0
4337,1980-10,Manitoba,Fluid purposes,v382209,10054,0
4338,1980-10,Manitoba,Industrial purposes,v382210,10238,0
4339,1980-10,Manitoba,Delivered as cream,v382211,2696,1
4340,1980-10,Saskatchewan,"Milk sold off farms, total",v382215,16003,0
4341,1980-10,Saskatchewan,Fluid purposes,v382216,8848,0
4342,1980-10,Saskatchewan,Industrial purposes,v382217,4229,0
4343,1980-10,Saskatchewan,Delivered as cream,v382218,2926,1
4344,1980-10,Alberta,"Milk sold off farms, total",v382222,41945,0
4345,1980-10,Alberta,Fluid purposes,v382223,23106,0
4346,1980-10,Alberta,Industrial purposes,v382224,14487,0
4347,1980-10,Alberta,Delivered as cream,v382225,4352,1
4348,1980-10,British Columbia,"Milk sold off farms, total",v382162,37578,0
4349,1980-10,British Columbia,Fluid purposes,v382163,27394,0
4350,1980-10,British Columbia,Industrial purposes,v382164,10088,0
4351,1980-10,British Columbia,Delivered as cream,v382165,96,1
4352,1980-11,Canada,"Milk sold off farms, total",v382155,499250,0
4353,1980-11,Canada,Fluid purposes,v382156,212651,0
4354,1980-11,Canada,Industrial purposes,v382157,272993,0
4355,1980-11,Canada,Delivered as cream,v382158,13606,1
4356,1980-11,Newfoundland and Labrador,"Milk sold off farms, total",v382166,639,0
4357,1980-11,Newfoundland and Labrador,Fluid purposes,v382167,639,0
4360,1980-11,Prince Edward Island,"Milk sold off farms, total",v382173,5762,0
4361,1980-11,Prince Edward Island,Fluid purposes,v382174,1351,0
4362,1980-11,Prince Edward Island,Industrial purposes,v382175,3871,0
4363,1980-11,Prince Edward Island,Delivered as cream,v382176,540,1
4364,1980-11,Nova Scotia,"Milk sold off farms, total",v382180,12983,0
4365,1980-11,Nova Scotia,Fluid purposes,v382181,8811,0
